"district_en","day","case"
"Tsuen Wan","2020-02-03","0"
"Tuen Mun","2020-02-03","1"
"Yuen Long","2020-02-03","0"
"North","2020-02-03","0"
"Tai Po","2020-02-03","0"
"Sha Tin","2020-02-03","3"
"Sai Kung","2020-02-03","1"
"Islands","2020-02-03","0"
"Central & Western","2020-02-04","1"
"Wan Chai","2020-02-04","0"
"Eastern","2020-02-04","1"
"Southern","2020-02-04","0"
"Yau Tsim Mong","2020-02-04","3"
"Sham Shui Po","2020-02-04","0"
"Kowloon City","2020-02-04","3"
"Wong Tai Sin","2020-02-04","0"
"Kwun Tong","2020-02-04","1"
"Kwai Tsing","2020-02-04","1"
"Tsuen Wan","2020-02-04","0"
"Tuen Mun","2020-02-04","1"
"Yuen Long","2020-02-04","0"
"North","2020-02-04","0"
"Tai Po","2020-02-04","0"
"Sha Tin","2020-02-04","2"
"Sai Kung","2020-02-04","1"
"Islands","2020-02-04","0"
"Central & Western","2020-02-05","1"
"Wan Chai","2020-02-05","0"
"Eastern","2020-02-05","1"
"Southern","2020-02-05","0"
"Yau Tsim Mong","2020-02-05","5"
"Sham Shui Po","2020-02-05","0"
"Kowloon City","2020-02-05","3"
"Wong Tai Sin","2020-02-05","0"
"Kwun Tong","2020-02-05","1"
"Kwai Tsing","2020-02-05","3"
"Tsuen Wan","2020-02-05","0"
"Tuen Mun","2020-02-05","1"
"Yuen Long","2020-02-05","0"
"North","2020-02-05","0"
"Tai Po","2020-02-05","0"
"Sha Tin","2020-02-05","1"
"Sai Kung","2020-02-05","1"
"Islands","2020-02-05","0"
"Central & Western","2020-02-06","1"
"Wan Chai","2020-02-06","0"
"Eastern","2020-02-06","2"
"Southern","2020-02-06","0"
"Yau Tsim Mong","2020-02-06","5"
"Sham Shui Po","2020-02-06","0"
"Kowloon City","2020-02-06","3"
"Wong Tai Sin","2020-02-06","0"
"Kwun Tong","2020-02-06","1"
"Kwai Tsing","2020-02-06","3"
"Tsuen Wan","2020-02-06","0"
"Tuen Mun","2020-02-06","1"
"Yuen Long","2020-02-06","0"
"North","2020-02-06","0"
"Tai Po","2020-02-06","0"
"Sha Tin","2020-02-06","2"
"Sai Kung","2020-02-06","1"
"Islands","2020-02-06","0"
"Central & Western","2020-02-07","1"
"Wan Chai","2020-02-07","0"
"Eastern","2020-02-07","2"
"Southern","2020-02-07","0"
"Yau Tsim Mong","2020-02-07","5"
"Sham Shui Po","2020-02-07","0"
"Kowloon City","2020-02-07","3"
"Wong Tai Sin","2020-02-07","0"
"Kwun Tong","2020-02-07","1"
"Kwai Tsing","2020-02-07","3"
"Tsuen Wan","2020-02-07","0"
"Tuen Mun","2020-02-07","1"
"Yuen Long","2020-02-07","0"
"North","2020-02-07","1"
"Tai Po","2020-02-07","0"
"Sha Tin","2020-02-07","2"
"Sai Kung","2020-02-07","1"
"Islands","2020-02-07","0"
"Central & Western","2020-02-08","1"
"Wan Chai","2020-02-08","0"
"Eastern","2020-02-08","2"
"Southern","2020-02-08","0"
"Yau Tsim Mong","2020-02-08","5"
"Sham Shui Po","2020-02-08","0"
"Kowloon City","2020-02-08","3"
"Wong Tai Sin","2020-02-08","0"
"Kwun Tong","2020-02-08","1"
"Kwai Tsing","2020-02-08","2"
"Tsuen Wan","2020-02-08","0"
"Tuen Mun","2020-02-08","0"
"Yuen Long","2020-02-08","0"
"North","2020-02-08","1"
"Tai Po","2020-02-08","0"
"Sha Tin","2020-02-08","2"
"Sai Kung","2020-02-08","1"
"Islands","2020-02-08","0"
"Central & Western","2020-02-09","1"
"Wan Chai","2020-02-09","3"
"Eastern","2020-02-09","1"
"Southern","2020-02-09","0"
"Yau Tsim Mong","2020-02-09","5"
"Sham Shui Po","2020-02-09","0"
"Kowloon City","2020-02-09","3"
"Wong Tai Sin","2020-02-09","1"
"Kwun Tong","2020-02-09","1"
"Kwai Tsing","2020-02-09","2"
"Tsuen Wan","2020-02-09","0"
"Tuen Mun","2020-02-09","0"
"Yuen Long","2020-02-09","0"
"North","2020-02-09","1"
"Tai Po","2020-02-09","0"
"Sha Tin","2020-02-09","2"
"Sai Kung","2020-02-09","1"
"Islands","2020-02-09","0"
"Central & Western","2020-02-10","1"
"Wan Chai","2020-02-10","3"
"Eastern","2020-02-10","2"
"Southern","2020-02-10","0"
"Yau Tsim Mong","2020-02-10","5"
"Sham Shui Po","2020-02-10","0"
"Kowloon City","2020-02-10","3"
"Wong Tai Sin","2020-02-10","1"
"Kwun Tong","2020-02-10","1"
"Kwai Tsing","2020-02-10","3"
"Tsuen Wan","2020-02-10","0"
"Tuen Mun","2020-02-10","0"
"Yuen Long","2020-02-10","0"
"North","2020-02-10","1"
"Tai Po","2020-02-10","0"
"Sha Tin","2020-02-10","3"
"Sai Kung","2020-02-10","0"
"Islands","2020-02-10","0"
"Central & Western","2020-02-11","1"
"Wan Chai","2020-02-11","3"
"Eastern","2020-02-11","3"
"Southern","2020-02-11","2"
"Yau Tsim Mong","2020-02-11","5"
"Sham Shui Po","2020-02-11","0"
"Kowloon City","2020-02-11","3"
"Wong Tai Sin","2020-02-11","1"
