"district_en","day","case"
"Wan Chai","2020-04-20","8"
"Eastern","2020-04-20","7"
"Southern","2020-04-20","2"
"Yau Tsim Mong","2020-04-20","13"
"Sham Shui Po","2020-04-20","1"
"Kowloon City","2020-04-20","9"
"Wong Tai Sin","2020-04-20","0"
"Kwun Tong","2020-04-20","5"
"Kwai Tsing","2020-04-20","4"
"Tsuen Wan","2020-04-20","3"
"Tuen Mun","2020-04-20","6"
"Yuen Long","2020-04-20","11"
"North","2020-04-20","2"
"Tai Po","2020-04-20","2"
"Sha Tin","2020-04-20","7"
"Sai Kung","2020-04-20","4"
"Islands","2020-04-20","5"
"Central & Western","2020-04-21","16"
"Wan Chai","2020-04-21","6"
"Eastern","2020-04-21","7"
"Southern","2020-04-21","2"
"Yau Tsim Mong","2020-04-21","12"
"Sham Shui Po","2020-04-21","1"
"Kowloon City","2020-04-21","5"
"Wong Tai Sin","2020-04-21","0"
"Kwun Tong","2020-04-21","4"
"Kwai Tsing","2020-04-21","4"
"Tsuen Wan","2020-04-21","3"
"Tuen Mun","2020-04-21","5"
"Yuen Long","2020-04-21","9"
"North","2020-04-21","1"
"Tai Po","2020-04-21","2"
"Sha Tin","2020-04-21","6"
"Sai Kung","2020-04-21","3"
"Islands","2020-04-21","5"
"Central & Western","2020-04-22","15"
"Wan Chai","2020-04-22","4"
"Eastern","2020-04-22","6"
"Southern","2020-04-22","0"
"Yau Tsim Mong","2020-04-22","9"
"Sham Shui Po","2020-04-22","1"
"Kowloon City","2020-04-22","4"
"Wong Tai Sin","2020-04-22","0"
"Kwun Tong","2020-04-22","3"
"Kwai Tsing","2020-04-22","3"
"Tsuen Wan","2020-04-22","3"
"Tuen Mun","2020-04-22","5"
"Yuen Long","2020-04-22","6"
"North","2020-04-22","2"
"Tai Po","2020-04-22","2"
"Sha Tin","2020-04-22","4"
"Sai Kung","2020-04-22","2"
"Islands","2020-04-22","5"
"Central & Western","2020-04-23","12"
"Wan Chai","2020-04-23","5"
"Eastern","2020-04-23","3"
"Southern","2020-04-23","1"
"Yau Tsim Mong","2020-04-23","9"
"Sham Shui Po","2020-04-23","1"
"Kowloon City","2020-04-23","5"
"Wong Tai Sin","2020-04-23","0"
"Kwun Tong","2020-04-23","2"
"Kwai Tsing","2020-04-23","3"
"Tsuen Wan","2020-04-23","1"
"Tuen Mun","2020-04-23","3"
"Yuen Long","2020-04-23","4"
"North","2020-04-23","1"
"Tai Po","2020-04-23","2"
"Sha Tin","2020-04-23","4"
"Sai Kung","2020-04-23","0"
"Islands","2020-04-23","4"
"Central & Western","2020-04-24","9"
"Wan Chai","2020-04-24","5"
"Eastern","2020-04-24","1"
"Southern","2020-04-24","1"
"Yau Tsim Mong","2020-04-24","7"
"Sham Shui Po","2020-04-24","1"
"Kowloon City","2020-04-24","3"
"Wong Tai Sin","2020-04-24","0"
"Kwun Tong","2020-04-24","1"
"Kwai Tsing","2020-04-24","2"
"Tsuen Wan","2020-04-24","1"
"Tuen Mun","2020-04-24","3"
"Yuen Long","2020-04-24","4"
"North","2020-04-24","1"
"Tai Po","2020-04-24","2"
"Sha Tin","2020-04-24","4"
"Sai Kung","2020-04-24","0"
"Islands","2020-04-24","3"
"Central & Western","2020-04-25","7"
"Wan Chai","2020-04-25","4"
"Eastern","2020-04-25","1"
"Southern","2020-04-25","1"
"Yau Tsim Mong","2020-04-25","6"
"Sham Shui Po","2020-04-25","1"
"Kowloon City","2020-04-25","2"
"Wong Tai Sin","2020-04-25","0"
"Kwun Tong","2020-04-25","0"
"Kwai Tsing","2020-04-25","2"
"Tsuen Wan","2020-04-25","0"
"Tuen Mun","2020-04-25","3"
"Yuen Long","2020-04-25","3"
"North","2020-04-25","1"
"Tai Po","2020-04-25","0"
"Sha Tin","2020-04-25","2"
"Sai Kung","2020-04-25","0"
"Islands","2020-04-25","2"
"Central & Western","2020-04-26","4"
"Wan Chai","2020-04-26","4"
"Eastern","2020-04-26","1"
"Southern","2020-04-26","1"
"Yau Tsim Mong","2020-04-26","5"
"Sham Shui Po","2020-04-26","1"
"Kowloon City","2020-04-26","3"
"Wong Tai Sin","2020-04-26","0"
"Kwun Tong","2020-04-26","0"
"Kwai Tsing","2020-04-26","2"
"Tsuen Wan","2020-04-26","0"
"Tuen Mun","2020-04-26","3"
"Yuen Long","2020-04-26","2"
"North","2020-04-26","1"
"Tai Po","2020-04-26","0"
"Sha Tin","2020-04-26","1"
"Sai Kung","2020-04-26","0"
"Islands","2020-04-26","2"
"Central & Western","2020-04-27","4"
"Wan Chai","2020-04-27","4"
"Eastern","2020-04-27","1"
"Southern","2020-04-27","1"
"Yau Tsim Mong","2020-04-27","5"
"Sham Shui Po","2020-04-27","1"
"Kowloon City","2020-04-27","3"
"Wong Tai Sin","2020-04-27","0"
"Kwun Tong","2020-04-27","0"
"Kwai Tsing","2020-04-27","2"
"Tsuen Wan","2020-04-27","0"
"Tuen Mun","2020-04-27","1"
"Yuen Long","2020-04-27","1"
"North","2020-04-27","1"
"Tai Po","2020-04-27","0"
"Sha Tin","2020-04-27","1"
"Sai Kung","2020-04-27","0"
"Islands","2020-04-27","2"
"Central & Western","2020-04-28","3"
"Wan Chai","2020-04-28","4"
"Eastern","2020-04-28","1"
"Southern","2020-04-28","1"
"Yau Tsim Mong","2020-04-28","5"
"Sham Shui Po","2020-04-28","1"
"Kowloon City","2020-04-28","2"
"Wong Tai Sin","2020-04-28","0"
"Kwun Tong","2020-04-28","0"
"Kwai Tsing","2020-04-28","2"
"Tsuen Wan","2020-04-28","0"
"Tuen Mun","2020-04-28","1"
"Yuen Long","2020-04-28","1"
"North","2020-04-28","1"
"Tai Po","2020-04-28","0"
"Sha Tin","2020-04-28","0"
"Sai Kung","2020-04-28","0"
"Islands","2020-04-28","2"
"Central & Western","2020-04-29","3"
"Wan Chai","2020-04-29","4"
"Eastern","2020-04-29","1"
"Southern","2020-04-29","1"
"Yau Tsim Mong","2020-04-29","5"
"Sham Shui Po","2020-04-29","1"
"Kowloon City","2020-04-29","2"
"Wong Tai Sin","2020-04-29","0"
"Kwun Tong","2020-04-29","0"
"Kwai Tsing","2020-04-29","2"
"Tsuen Wan","2020-04-29","0"
"Tuen Mun","2020-04-29","0"
"Yuen Long","2020-04-29","1"
"North","2020-04-29","1"
"Tai Po","2020-04-29","0"
"Sha Tin","2020-04-29","0"
"Sai Kung","2020-04-29","0"
"Islands","2020-04-29","2"
"Central & Western","2020-04-30","2"
"Wan Chai","2020-04-30","3"
"Eastern","2020-04-30","1"
"Southern","2020-04-30","1"
"Yau Tsim Mong","2020-04-30","5"
"Sham Shui Po","2020-04-30","1"
"Kowloon City","2020-04-30","2"
"Wong Tai Sin","2020-04-30","0"
"Kwun Tong","2020-04-30","0"
"Kwai Tsing","2020-04-30","1"
"Tsuen Wan","2020-04-30","0"
"Tuen Mun","2020-04-30","0"
"Yuen Long","2020-04-30","1"
"North","2020-04-30","1"
"Tai Po","2020-04-30","0"
"Sha Tin","2020-04-30","0"
"Sai Kung","2020-04-30","0"
"Islands","2020-04-30","2"
"Central & Western","2020-05-01","2"
"Wan Chai","2020-05-01","3"
"Eastern","2020-05-01","1"
"Southern","2020-05-01","1"
"Yau Tsim Mong","2020-05-01","4"
"Sham Shui Po","2020-05-01","0"
"Kowloon City","2020-05-01","2"
"Wong Tai Sin","2020-05-01","0"
"Kwun Tong","2020-05-01","0"
"Kwai Tsing","2020-05-01","1"
"Tsuen Wan","2020-05-01","0"
"Tuen Mun","2020-05-01","0"
"Yuen Long","2020-05-01","1"
"North","2020-05-01","1"
"Tai Po","2020-05-01","0"
"Sha Tin","2020-05-01","0"
"Sai Kung","2020-05-01","0"
"Islands","2020-05-01","2"
"Central & Western","2020-05-02","2"
"Wan Chai","2020-05-02","3"
"Eastern","2020-05-02","0"
"Southern","2020-05-02","1"
"Yau Tsim Mong","2020-05-02","4"
"Sham Shui Po","2020-05-02","0"
"Kowloon City","2020-05-02","2"
"Wong Tai Sin","2020-05-02","0"
"Kwun Tong","2020-05-02","0"
"Kwai Tsing","2020-05-02","1"
"Tsuen Wan","2020-05-02","0"
"Tuen Mun","2020-05-02","0"
"Yuen Long","2020-05-02","1"
"North","2020-05-02","1"
"Tai Po","2020-05-02","0"
"Sha Tin","2020-05-02","0"
"Sai Kung","2020-05-02","0"
"Islands","2020-05-02","2"
"Central & Western","2020-05-03","2"
"Wan Chai","2020-05-03","3"
"Eastern","2020-05-03","0"
"Southern","2020-05-03","1"
"Yau Tsim Mong","2020-05-03","4"
"Sham Shui Po","2020-05-03","0"
"Kowloon City","2020-05-03","2"
"Wong Tai Sin","2020-05-03","0"
"Kwun Tong","2020-05-03","0"
"Kwai Tsing","2020-05-03","1"
"Tsuen Wan","2020-05-03","0"
"Tuen Mun","2020-05-03","0"
"Yuen Long","2020-05-03","1"
"North","2020-05-03","1"
"Tai Po","2020-05-03","0"
"Sha Tin","2020-05-03","0"
"Sai Kung","2020-05-03","0"
"Islands","2020-05-03","1"
"Central & Western","2020-05-04","2"
"Wan Chai","2020-05-04","3"
"Eastern","2020-05-04","0"
"Southern","2020-05-04","1"
"Yau Tsim Mong","2020-05-04","4"
"Sham Shui Po","2020-05-04","0"
"Kowloon City","2020-05-04","1"
"Wong Tai Sin","2020-05-04","0"
"Kwun Tong","2020-05-04","0"
"Kwai Tsing","2020-05-04","1"
"Tsuen Wan","2020-05-04","0"
"Tuen Mun","2020-05-04","0"
"Yuen Long","2020-05-04","1"
"North","2020-05-04","1"
"Tai Po","2020-05-04","0"
"Sha Tin","2020-05-04","0"
"Sai Kung","2020-05-04","0"
"Islands","2020-05-04","0"
"Central & Western","2020-05-05","2"
"Wan Chai","2020-05-05","3"
"Eastern","2020-05-05","0"
"Southern","2020-05-05","1"
"Yau Tsim Mong","2020-05-05","5"
"Sham Shui Po","2020-05-05","0"
"Kowloon City","2020-05-05","1"
"Wong Tai Sin","2020-05-05","0"
"Kwun Tong","2020-05-05","0"
"Kwai Tsing","2020-05-05","1"
"Tsuen Wan","2020-05-05","0"
"Tuen Mun","2020-05-05","0"
"Yuen Long","2020-05-05","1"
"North","2020-05-05","1"
"Tai Po","2020-05-05","0"
"Sha Tin","2020-05-05","0"
"Sai Kung","2020-05-05","0"
"Islands","2020-05-05","0"
"Central & Western","2020-05-06","1"
"Wan Chai","2020-05-06","1"
"Eastern","2020-05-06","0"
"Southern","2020-05-06","0"
"Yau Tsim Mong","2020-05-06","0"
"Sham Shui Po","2020-05-06","0"
"Kowloon City","2020-05-06","0"
"Wong Tai Sin","2020-05-06","0"
"Kwun Tong","2020-05-06","0"
"Kwai Tsing","2020-05-06","0"
"Tsuen Wan","2020-05-06","0"
"Tuen Mun","2020-05-06","0"
"Yuen Long","2020-05-06","0"
"North","2020-05-06","1"
"Tai Po","2020-05-06","0"
"Sha Tin","2020-05-06","0"
"Sai Kung","2020-05-06","0"
"Islands","2020-05-06","0"
"Central & Western","2020-05-07","1"
"Wan Chai","2020-05-07","1"
"Eastern","2020-05-07","0"
"Southern","2020-05-07","0"
"Yau Tsim Mong","2020-05-07","0"
"Sham Shui Po","2020-05-07","0"
"Kowloon City","2020-05-07","0"
"Wong Tai Sin","2020-05-07","0"
"Kwun Tong","2020-05-07","0"
"Kwai Tsing","2020-05-07","0"
"Tsuen Wan","2020-05-07","0"
"Tuen Mun","2020-05-07","0"
"Yuen Long","2020-05-07","0"
"North","2020-05-07","0"
"Tai Po","2020-05-07","0"
"Sha Tin","2020-05-07","0"
"Sai Kung","2020-05-07","0"
"Islands","2020-05-07","0"
"Central & Western","2020-05-08","0"
"Wan Chai","2020-05-08","0"
"Eastern","2020-05-08","0"
"Southern","2020-05-08","0"
"Yau Tsim Mong","2020-05-08","0"
"Sham Shui Po","2020-05-08","0"
"Kowloon City","2020-05-08","0"
"Wong Tai Sin","2020-05-08","0"
"Kwun Tong","2020-05-08","0"
"Kwai Tsing","2020-05-08","0"
"Tsuen Wan","2020-05-08","0"
"Tuen Mun","2020-05-08","0"
"Yuen Long","2020-05-08","0"
"North","2020-05-08","0"
"Tai Po","2020-05-08","0"
"Sha Tin","2020-05-08","0"
"Sai Kung","2020-05-08","0"
"Islands","2020-05-08","0"
"Central & Western","2020-05-09","0"
"Wan Chai","2020-05-09","0"
"Eastern","2020-05-09","0"
"Southern","2020-05-09","0"
"Yau Tsim Mong","2020-05-09","0"
"Sham Shui Po","2020-05-09","0"
"Kowloon City","2020-05-09","0"
"Wong Tai Sin","2020-05-09","0"
"Kwun Tong","2020-05-09","0"
"Kwai Tsing","2020-05-09","0"
"Tsuen Wan","2020-05-09","0"
"Tuen Mun","2020-05-09","0"
"Yuen Long","2020-05-09","0"
"North","2020-05-09","0"
"Tai Po","2020-05-09","0"
"Sha Tin","2020-05-09","0"
"Sai Kung","2020-05-09","0"
"Islands","2020-05-09","0"
"Central & Western","2020-05-10","0"
"Wan Chai","2020-05-10","0"
"Eastern","2020-05-10","0"
"Southern","2020-05-10","0"
"Yau Tsim Mong","2020-05-10","0"
"Sham Shui Po","2020-05-10","0"
"Kowloon City","2020-05-10","0"
"Wong Tai Sin","2020-05-10","0"
"Kwun Tong","2020-05-10","0"
"Kwai Tsing","2020-05-10","0"
"Tsuen Wan","2020-05-10","0"
"Tuen Mun","2020-05-10","0"
"Yuen Long","2020-05-10","0"
"North","2020-05-10","0"
"Tai Po","2020-05-10","0"
"Sha Tin","2020-05-10","0"
"Sai Kung","2020-05-10","0"
"Islands","2020-05-10","0"
"Central & Western","2020-05-11","0"
"Wan Chai","2020-05-11","0"
"Eastern","2020-05-11","0"
"Southern","2020-05-11","0"
"Yau Tsim Mong","2020-05-11","0"
"Sham Shui Po","2020-05-11","0"
"Kowloon City","2020-05-11","0"
"Wong Tai Sin","2020-05-11","0"
"Kwun Tong","2020-05-11","0"
"Kwai Tsing","2020-05-11","0"
"Tsuen Wan","2020-05-11","0"
"Tuen Mun","2020-05-11","0"
"Yuen Long","2020-05-11","0"
"North","2020-05-11","0"
"Tai Po","2020-05-11","0"
"Sha Tin","2020-05-11","0"
"Sai Kung","2020-05-11","0"
"Islands","2020-05-11","0"
"Central & Western","2020-05-12","0"
"Wan Chai","2020-05-12","0"
"Eastern","2020-05-12","0"
"Southern","2020-05-12","0"
"Yau Tsim Mong","2020-05-12","0"
"Sham Shui Po","2020-05-12","0"
"Kowloon City","2020-05-12","0"
"Wong Tai Sin","2020-05-12","0"
"Kwun Tong","2020-05-12","0"
"Kwai Tsing","2020-05-12","0"
"Tsuen Wan","2020-05-12","0"
"Tuen Mun","2020-05-12","0"
"Yuen Long","2020-05-12","0"
"North","2020-05-12","0"
"Tai Po","2020-05-12","0"
"Sha Tin","2020-05-12","0"
"Sai Kung","2020-05-12","0"
"Islands","2020-05-12","0"
"Central & Western","2020-05-13","0"
"Wan Chai","2020-05-13","0"
"Eastern","2020-05-13","0"
"Southern","2020-05-13","0"
"Yau Tsim Mong","2020-05-13","1"
"Sham Shui Po","2020-05-13","0"
"Kowloon City","2020-05-13","0"
"Wong Tai Sin","2020-05-13","0"
"Kwun Tong","2020-05-13","0"
"Kwai Tsing","2020-05-13","0"
"Tsuen Wan","2020-05-13","2"
"Tuen Mun","2020-05-13","0"
"Yuen Long","2020-05-13","0"
"North","2020-05-13","0"
"Tai Po","2020-05-13","0"
"Sha Tin","2020-05-13","0"
"Sai Kung","2020-05-13","0"
"Islands","2020-05-13","0"
"Central & Western","2020-05-14","0"
"Wan Chai","2020-05-14","0"
"Eastern","2020-05-14","0"
"Southern","2020-05-14","0"
"Yau Tsim Mong","2020-05-14","1"
"Sham Shui Po","2020-05-14","0"
"Kowloon City","2020-05-14","0"
"Wong Tai Sin","2020-05-14","0"
"Kwun Tong","2020-05-14","0"
"Kwai Tsing","2020-05-14","0"
"Tsuen Wan","2020-05-14","3"
"Tuen Mun","2020-05-14","0"
"Yuen Long","2020-05-14","0"
"North","2020-05-14","0"
"Tai Po","2020-05-14","0"
"Sha Tin","2020-05-14","0"
"Sai Kung","2020-05-14","0"
"Islands","2020-05-14","0"
"Central & Western","2020-05-15","0"
"Wan Chai","2020-05-15","0"
"Eastern","2020-05-15","0"
"Southern","2020-05-15","0"
"Yau Tsim Mong","2020-05-15","1"
"Sham Shui Po","2020-05-15","0"
"Kowloon City","2020-05-15","0"
"Wong Tai Sin","2020-05-15","0"
"Kwun Tong","2020-05-15","0"
"Kwai Tsing","2020-05-15","0"
"Tsuen Wan","2020-05-15","3"
"Tuen Mun","2020-05-15","0"
"Yuen Long","2020-05-15","0"
"North","2020-05-15","0"
"Tai Po","2020-05-15","0"
"Sha Tin","2020-05-15","0"
"Sai Kung","2020-05-15","0"
"Islands","2020-05-15","1"
"Central & Western","2020-05-16","0"
"Wan Chai","2020-05-16","0"
"Eastern","2020-05-16","0"
"Southern","2020-05-16","0"
"Yau Tsim Mong","2020-05-16","1"
"Sham Shui Po","2020-05-16","0"
"Kowloon City","2020-05-16","0"
"Wong Tai Sin","2020-05-16","0"
"Kwun Tong","2020-05-16","0"
"Kwai Tsing","2020-05-16","0"
"Tsuen Wan","2020-05-16","3"
"Tuen Mun","2020-05-16","0"
"Yuen Long","2020-05-16","0"
"North","2020-05-16","0"
"Tai Po","2020-05-16","0"
"Sha Tin","2020-05-16","0"
"Sai Kung","2020-05-16","0"
"Islands","2020-05-16","1"
"Central & Western","2020-05-17","0"
"Wan Chai","2020-05-17","0"
"Eastern","2020-05-17","0"
"Southern","2020-05-17","0"
"Yau Tsim Mong","2020-05-17","1"
"Sham Shui Po","2020-05-17","0"
"Kowloon City","2020-05-17","0"
"Wong Tai Sin","2020-05-17","0"
"Kwun Tong","2020-05-17","0"
"Kwai Tsing","2020-05-17","0"
"Tsuen Wan","2020-05-17","3"
"Tuen Mun","2020-05-17","0"
"Yuen Long","2020-05-17","0"
"North","2020-05-17","0"
"Tai Po","2020-05-17","0"
"Sha Tin","2020-05-17","0"
"Sai Kung","2020-05-17","0"
"Islands","2020-05-17","1"
"Central & Western","2020-05-18","0"
"Wan Chai","2020-05-18","0"
"Eastern","2020-05-18","0"
"Southern","2020-05-18","0"
"Yau Tsim Mong","2020-05-18","1"
"Sham Shui Po","2020-05-18","0"
"Kowloon City","2020-05-18","0"
"Wong Tai Sin","2020-05-18","0"
"Kwun Tong","2020-05-18","0"
"Kwai Tsing","2020-05-18","0"
"Tsuen Wan","2020-05-18","3"
"Tuen Mun","2020-05-18","0"
"Yuen Long","2020-05-18","0"
"North","2020-05-18","0"
"Tai Po","2020-05-18","0"
"Sha Tin","2020-05-18","0"
"Sai Kung","2020-05-18","0"
"Islands","2020-05-18","1"
"Central & Western","2020-05-19","0"
"Wan Chai","2020-05-19","0"
"Eastern","2020-05-19","0"
"Southern","2020-05-19","0"
"Yau Tsim Mong","2020-05-19","1"
"Sham Shui Po","2020-05-19","0"
"Kowloon City","2020-05-19","0"
"Wong Tai Sin","2020-05-19","0"
"Kwun Tong","2020-05-19","0"
"Kwai Tsing","2020-05-19","0"
"Tsuen Wan","2020-05-19","3"
"Tuen Mun","2020-05-19","0"
"Yuen Long","2020-05-19","0"
"North","2020-05-19","0"
"Tai Po","2020-05-19","0"
"Sha Tin","2020-05-19","0"
"Sai Kung","2020-05-19","0"
"Islands","2020-05-19","1"
"Central & Western","2020-05-20","0"
"Wan Chai","2020-05-20","0"
"Eastern","2020-05-20","0"
"Southern","2020-05-20","0"
"Yau Tsim Mong","2020-05-20","1"
"Sham Shui Po","2020-05-20","0"
"Kowloon City","2020-05-20","0"
"Wong Tai Sin","2020-05-20","0"
"Kwun Tong","2020-05-20","0"
"Kwai Tsing","2020-05-20","0"
"Tsuen Wan","2020-05-20","3"
"Tuen Mun","2020-05-20","0"
"Yuen Long","2020-05-20","0"
"North","2020-05-20","0"
"Tai Po","2020-05-20","0"
"Sha Tin","2020-05-20","0"
"Sai Kung","2020-05-20","0"
"Islands","2020-05-20","1"
"Central & Western","2020-05-21","0"
"Wan Chai","2020-05-21","0"
"Eastern","2020-05-21","0"
"Southern","2020-05-21","0"
"Yau Tsim Mong","2020-05-21","1"
"Sham Shui Po","2020-05-21","0"
"Kowloon City","2020-05-21","0"
"Wong Tai Sin","2020-05-21","0"
"Kwun Tong","2020-05-21","0"
"Kwai Tsing","2020-05-21","0"
"Tsuen Wan","2020-05-21","3"
"Tuen Mun","2020-05-21","0"
"Yuen Long","2020-05-21","0"
"North","2020-05-21","0"
"Tai Po","2020-05-21","0"
"Sha Tin","2020-05-21","0"
"Sai Kung","2020-05-21","0"
"Islands","2020-05-21","1"
"Central & Western","2020-05-22","0"
"Wan Chai","2020-05-22","0"
"Eastern","2020-05-22","0"
"Southern","2020-05-22","0"
"Yau Tsim Mong","2020-05-22","1"
"Sham Shui Po","2020-05-22","1"
"Kowloon City","2020-05-22","0"
"Wong Tai Sin","2020-05-22","0"
"Kwun Tong","2020-05-22","0"
"Kwai Tsing","2020-05-22","0"
"Tsuen Wan","2020-05-22","3"
"Tuen Mun","2020-05-22","0"
"Yuen Long","2020-05-22","0"
"North","2020-05-22","0"
"Tai Po","2020-05-22","0"
"Sha Tin","2020-05-22","0"
"Sai Kung","2020-05-22","0"
"Islands","2020-05-22","1"
"Central & Western","2020-05-23","0"
"Wan Chai","2020-05-23","0"
"Eastern","2020-05-23","0"
"Southern","2020-05-23","0"
"Yau Tsim Mong","2020-05-23","1"
"Sham Shui Po","2020-05-23","1"
"Kowloon City","2020-05-23","0"
"Wong Tai Sin","2020-05-23","0"
"Kwun Tong","2020-05-23","0"
"Kwai Tsing","2020-05-23","0"
"Tsuen Wan","2020-05-23","3"
"Tuen Mun","2020-05-23","0"
"Yuen Long","2020-05-23","0"
"North","2020-05-23","0"
"Tai Po","2020-05-23","0"
"Sha Tin","2020-05-23","0"
"Sai Kung","2020-05-23","0"
"Islands","2020-05-23","1"
"Central & Western","2020-05-24","0"
"Wan Chai","2020-05-24","0"
"Eastern","2020-05-24","0"
"Southern","2020-05-24","0"
"Yau Tsim Mong","2020-05-24","1"
"Sham Shui Po","2020-05-24","1"
"Kowloon City","2020-05-24","0"
"Wong Tai Sin","2020-05-24","0"
"Kwun Tong","2020-05-24","0"
"Kwai Tsing","2020-05-24","0"
"Tsuen Wan","2020-05-24","3"
"Tuen Mun","2020-05-24","0"
"Yuen Long","2020-05-24","0"
"North","2020-05-24","0"
"Tai Po","2020-05-24","0"
"Sha Tin","2020-05-24","0"
"Sai Kung","2020-05-24","0"
"Islands","2020-05-24","1"
"Central & Western","2020-05-25","0"
"Wan Chai","2020-05-25","0"
"Eastern","2020-05-25","0"
"Southern","2020-05-25","0"
"Yau Tsim Mong","2020-05-25","1"
"Sham Shui Po","2020-05-25","1"
"Kowloon City","2020-05-25","0"
"Wong Tai Sin","2020-05-25","0"
"Kwun Tong","2020-05-25","0"
"Kwai Tsing","2020-05-25","0"
"Tsuen Wan","2020-05-25","3"
"Tuen Mun","2020-05-25","0"
"Yuen Long","2020-05-25","0"
"North","2020-05-25","0"
"Tai Po","2020-05-25","0"
"Sha Tin","2020-05-25","0"
"Sai Kung","2020-05-25","0"
"Islands","2020-05-25","1"
"Central & Western","2020-05-26","0"
"Wan Chai","2020-05-26","0"
"Eastern","2020-05-26","0"
"Southern","2020-05-26","0"
"Yau Tsim Mong","2020-05-26","1"
"Sham Shui Po","2020-05-26","1"
"Kowloon City","2020-05-26","0"
"Wong Tai Sin","2020-05-26","0"
"Kwun Tong","2020-05-26","0"
"Kwai Tsing","2020-05-26","0"
"Tsuen Wan","2020-05-26","3"
"Tuen Mun","2020-05-26","0"
"Yuen Long","2020-05-26","0"
"North","2020-05-26","0"
"Tai Po","2020-05-26","0"
"Sha Tin","2020-05-26","0"
"Sai Kung","2020-05-26","0"
"Islands","2020-05-26","1"
"Central & Western","2020-05-27","0"
"Wan Chai","2020-05-27","0"
"Eastern","2020-05-27","0"
"Southern","2020-05-27","0"
"Yau Tsim Mong","2020-05-27","1"
"Sham Shui Po","2020-05-27","1"
"Kowloon City","2020-05-27","0"
"Wong Tai Sin","2020-05-27","0"
"Kwun Tong","2020-05-27","0"
"Kwai Tsing","2020-05-27","0"
"Tsuen Wan","2020-05-27","3"
"Tuen Mun","2020-05-27","0"
"Yuen Long","2020-05-27","0"
"North","2020-05-27","0"
"Tai Po","2020-05-27","0"
"Sha Tin","2020-05-27","0"
"Sai Kung","2020-05-27","0"
"Islands","2020-05-27","1"
"Central & Western","2020-05-28","0"
"Wan Chai","2020-05-28","0"
"Eastern","2020-05-28","0"
"Southern","2020-05-28","0"
"Yau Tsim Mong","2020-05-28","0"
"Sham Shui Po","2020-05-28","1"
"Kowloon City","2020-05-28","0"
"Wong Tai Sin","2020-05-28","0"
"Kwun Tong","2020-05-28","0"
"Kwai Tsing","2020-05-28","0"
"Tsuen Wan","2020-05-28","1"
"Tuen Mun","2020-05-28","0"
"Yuen Long","2020-05-28","0"
"North","2020-05-28","0"
"Tai Po","2020-05-28","0"
"Sha Tin","2020-05-28","0"
"Sai Kung","2020-05-28","0"
"Islands","2020-05-28","1"
"Central & Western","2020-05-29","0"
"Wan Chai","2020-05-29","0"
"Eastern","2020-05-29","0"
"Southern","2020-05-29","0"
"Yau Tsim Mong","2020-05-29","0"
"Sham Shui Po","2020-05-29","1"
"Kowloon City","2020-05-29","0"
"Wong Tai Sin","2020-05-29","0"
"Kwun Tong","2020-05-29","0"
"Kwai Tsing","2020-05-29","0"
"Tsuen Wan","2020-05-29","0"
"Tuen Mun","2020-05-29","0"
"Yuen Long","2020-05-29","0"
"North","2020-05-29","0"
"Tai Po","2020-05-29","0"
"Sha Tin","2020-05-29","0"
"Sai Kung","2020-05-29","0"
"Islands","2020-05-29","1"
"Central & Western","2020-05-30","0"
"Wan Chai","2020-05-30","0"
"Eastern","2020-05-30","0"
"Southern","2020-05-30","0"
"Yau Tsim Mong","2020-05-30","0"
"Sham Shui Po","2020-05-30","1"
"Kowloon City","2020-05-30","0"
"Wong Tai Sin","2020-05-30","0"
"Kwun Tong","2020-05-30","0"
"Kwai Tsing","2020-05-30","0"
"Tsuen Wan","2020-05-30","0"
"Tuen Mun","2020-05-30","0"
"Yuen Long","2020-05-30","0"
"North","2020-05-30","0"
"Tai Po","2020-05-30","0"
"Sha Tin","2020-05-30","0"
"Sai Kung","2020-05-30","0"
"Islands","2020-05-30","0"
"Central & Western","2020-05-31","0"
"Wan Chai","2020-05-31","0"
"Eastern","2020-05-31","0"
"Southern","2020-05-31","0"
"Yau Tsim Mong","2020-05-31","0"
"Sham Shui Po","2020-05-31","1"
"Kowloon City","2020-05-31","0"
"Wong Tai Sin","2020-05-31","0"
"Kwun Tong","2020-05-31","0"
"Kwai Tsing","2020-05-31","0"
"Tsuen Wan","2020-05-31","0"
"Tuen Mun","2020-05-31","0"
"Yuen Long","2020-05-31","0"
"North","2020-05-31","0"
"Tai Po","2020-05-31","0"
"Sha Tin","2020-05-31","1"
"Sai Kung","2020-05-31","0"
"Islands","2020-05-31","0"
"Central & Western","2020-06-01","0"
"Wan Chai","2020-06-01","0"
"Eastern","2020-06-01","0"
"Southern","2020-06-01","0"
"Yau Tsim Mong","2020-06-01","0"
"Sham Shui Po","2020-06-01","1"
"Kowloon City","2020-06-01","0"
"Wong Tai Sin","2020-06-01","0"
"Kwun Tong","2020-06-01","0"
"Kwai Tsing","2020-06-01","2"
"Tsuen Wan","2020-06-01","0"
"Tuen Mun","2020-06-01","0"
"Yuen Long","2020-06-01","0"
"North","2020-06-01","0"
"Tai Po","2020-06-01","0"
"Sha Tin","2020-06-01","4"
"Sai Kung","2020-06-01","0"
"Islands","2020-06-01","0"
"Central & Western","2020-06-02","0"
"Wan Chai","2020-06-02","0"
"Eastern","2020-06-02","0"
"Southern","2020-06-02","0"
